Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
11;1;7;7;9;651735;17.474855;
12;1;7;7;19;1257322;17.374367;
13;1;7;7;13;1233057;17.474855;
14;1;7;7;40;1791675;17.374367;
15;1;7;7;18;1461178;17.8954;
16;1;7;7;23;1697337;17.374367;
17;1;7;7;15;1453304;17.8954;
18;1;7;7;31;2576923;17.474855;
19;1;7;7;13;2412331;17.474855;
20;1;7;7;24;1560507;17.374367;
21;1;7;7;8;832206;17.374367;
22;1;7;7;16;1101768;17.374367;
1;1;8;8;31;462447;19.30365;
2;1;8;8;12;365252;18.8547;
3;1;8;8;41;955441;18.820753;
4;1;8;8;29;902420;19.620016;
5;1;8;8;27;948748;19.291546;
6;1;8;8;38;1533636;18.8547;
7;1;8;8;15;863346;18.820753;
8;1;8;8;18;849219;19.30365;
9;1;8;8;23;1096768;19.084455;
10;1;8;8;18;1086479;19.863682;
11;1;8;8;43;1959252;18.820753;
12;1;8;8;23;1510252;18.820753;
13;1;8;8;13;1227496;18.820753;
14;1;8;8;23;1580695;18.820753;
15;1;8;8;12;1161862;19.084455;
16;1;8;8;36;2418132;18.820753;
17;1;8;8;14;1437123;19.084455;
18;1;8;8;10;1093682;19.291546;
19;1;8;8;18;1529969;19.084455;
20;1;8;8;12;1257011;20.087263;
21;1;8;8;30;1870966;18.820753;
22;1;8;8;14;785789;18.820753;
1;2;1;2;2;106773;0.572353;
2;2;1;2;2;63210;0.572353;
3;2;1;2;2;59513;0.572353;
4;2;1;2;2;49214;0.572353;
5;2;1;2;2;54524;0.572353;
6;2;1;2;2;48492;0.572353;
7;2;1;2;2;66786;0.572353;
8;2;1;2;2;109097;0.572353;
9;2;1;2;2;54093;0.572353;
10;2;1;2;2;41910;0.572353;
11;2;1;2;2;42361;0.572353;
12;2;1;2;2;49073;0.572353;
13;2;1;2;2;51388;0.572353;
14;2;1;2;2;42952;0.572353;
15;2;1;2;2;43863;0.572353;
16;2;1;2;2;94780;0.572353;
17;2;1;2;2;66907;0.572353;
18;2;1;2;2;426107;0.572353;
19;2;1;2;2;113064;0.572353;
20;2;1;2;2;117061;0.572353;
21;2;1;2;2;232521;0.572353;
22;2;1;2;2;106542;0.572353;
1;2;2;4;6;181664;1.3621099;
2;2;2;4;6;246146;1.3621099;
3;2;2;4;6;233823;1.3621099;
4;2;2;4;6;221059;1.3621099;
5;2;2;4;6;216320;1.3621099;
6;2;2;4;2;133292;1.3621099;
7;2;2;4;2;123273;1.3621099;
8;2;2;4;2;126940;1.3621099;
9;2;2;4;2;179319;1.3621099;
10;2;2;4;2;136739;1.3621099;
11;2;2;4;4;209868;1.3621099;
12;2;2;4;2;138713;1.3621099;
13;2;2;4;6;214817;1.3621099;
14;2;2;4;2;121120;1.3621099;
15;2;2;4;2;118625;1.3621099;
16;2;2;4;2;124586;1.3621099;
17;2;2;4;6;236087;1.3621099;
18;2;2;4;2;148561;1.3621099;
19;2;2;4;6;231970;1.3621099;
20;2;2;4;4;167227;1.3621099;
21;2;2;4;2;136249;1.3621099;
22;2;2;4;4;171966;1.3621099;
1;2;3;6;16;317371;7.478943;
2;2;3;6;11;298365;7.478943;
3;2;3;6;12;339333;7.478943;
4;2;3;6;10;323393;7.478943;
5;2;3;6;2;214696;7.478943;
6;2;3;6;13;483205;7.478943;
7;2;3;6;15;494728;7.478943;
8;2;3;6;13;451286;7.478943;
9;2;3;6;15;532309;7.478943;
10;2;3;6;12;506650;7.478943;
11;2;3;6;20;702461;7.8037176;
12;2;3;6;9;493966;7.478943;
13;2;3;6;10;408875;7.478943;
14;2;3;6;22;781721;7.478943;
15;2;3;6;7;394487;7.478943;
16;2;3;6;19;809303;7.478943;
17;2;3;6;7;450774;7.478943;
18;2;3;6;10;570571;7.478943;
19;2;3;6;14;599315;7.478943;
20;2;3;6;13;566363;7.478943;
21;2;3;6;7;512070;7.478943;
22;2;3;6;11;503684;7.478943;
1;2;4;8;21;476393;19.792044;
2;2;4;8;26;588916;19.792044;
3;2;4;8;29;585360;19.792044;
4;2;4;8;31;1781996;19.997059;
5;2;4;8;23;708363;19.792044;
6;2;4;8;12;496451;19.792044;
7;2;4;8;29;961512;19.792044;
8;2;4;8;37;1115223;19.792044;
9;2;4;8;17;921085;19.792044;
10;2;4;8;27;1028559;19.792044;
11;2;4;8;21;756874;19.997059;
12;2;4;8;16;746074;19.792044;
13;2;4;8;18;806709;19.792044;
14;2;4;8;27;1220953;19.792044;
15;2;4;8;45;1590914;19.792044;
16;2;4;8;29;1132385;20.232786;
17;2;4;8;9;753568;19.792044;
18;2;4;8;29;1104312;19.792044;
19;2;4;8;10;670942;19.792044;
20;2;4;8;16;717279;19.997059;
21;2;4;8;5;490710;19.792044;
22;2;4;8;23;907930;19.997059;
1;2;5;10;36;766081;35.896355;
2;2;5;10;57;1268624;36.409203;
3;2;5;10;19;536346;36.409203;
4;2;5;10;36;1020273;37.0699;
5;2;5;10;16;534623;36.409203;
6;2;5;10;45;1242535;35.896355;
7;2;5;10;14;544923;36.985416;
8;2;5;10;59;1713316;36.24808;
9;2;5;10;21;825745;35.91699;
10;2;5;10;32;1150671;35.349968;
11;2;5;10;28;1208810;36.522293;
12;2;5;10;19;919682;37.150585;
13;2;5;10;60;1967979;36.307995;
14;2;5;10;37;1470156;36.885643;
15;2;5;10;69;3025863;35.91699;
16;2;5;10;26;1298831;35.91699;
17;2;5;10;43;1871066;36.985416;
18;2;5;10;81;2804785;36.48254;
19;2;5;10;45;1878008;35.896355;
20;2;5;10;34;1520140;36.08381;
21;2;5;10;36;1625070;36.066315;
22;2;5;10;24;1395615;36.307995;
1;2;6;12;78;2123193;54.9559;
2;2;6;12;111;2772693;53.630787;
3;2;6;12;62;1917743;54.156567;
4;2;6;12;38;1191618;53.0779;
5;2;6;12;65;1666378;54.007553;
6;2;6;12;58;1680054;54.131313;
7;2;6;12;49;1432044;54.610466;
8;2;6;12;33;1093111;53.0779;
9;2;6;12;62;2004708;54.31549;
10;2;6;12;68;2168970;55.28136;
11;2;6;12;34;1370427;55.898804;
12;2;6;12;77;2489437;55.533142;
13;2;6;12;53;1964211;54.418995;
14;2;6;12;52;2673185;53.0779;
