Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
9;1;8;8;16;985116;25.299046;
10;1;8;8;12;950892;25.48503;
11;1;8;8;12;945541;25.469612;
12;1;8;8;11;1074345;25.455051;
13;1;8;8;15;1252403;25.469612;
14;1;8;8;17;1367671;25.299046;
15;1;8;8;8;1122676;25.48503;
16;1;8;8;13;1773550;25.299046;
17;1;8;8;11;1558132;25.299046;
18;1;8;8;12;2453478;25.469612;
19;1;8;8;16;2555882;25.455051;
20;1;8;8;11;1763050;25.013426;
21;1;8;8;16;2691349;25.299046;
22;1;8;8;13;1598579;25.04785;
1;2;1;2;2;148381;0.34313393;
2;2;1;2;2;106662;0.34313393;
3;2;1;2;2;269391;0.34313393;
4;2;1;2;2;116220;0.34313393;
5;2;1;2;2;100029;0.34313393;
6;2;1;2;2;81104;0.34313393;
7;2;1;2;2;74932;0.34313393;
8;2;1;2;2;78569;0.34313393;
9;2;1;2;2;63761;0.34313393;
10;2;1;2;2;73509;0.34313393;
11;2;1;2;2;59523;0.34313393;
12;2;1;2;2;109587;0.34313393;
13;2;1;2;2;60444;0.34313393;
14;2;1;2;2;62738;0.34313393;
15;2;1;2;2;58441;0.34313393;
16;2;1;2;2;63250;0.34313393;
17;2;1;2;2;70935;0.34313393;
18;2;1;2;2;63771;0.34313393;
19;2;1;2;2;64773;0.34313393;
20;2;1;2;2;64692;0.34313393;
21;2;1;2;2;72798;0.34313393;
22;2;1;2;2;85502;0.34313393;
1;2;2;4;6;222402;2.5114665;
2;2;2;4;2;119055;2.5114665;
3;2;2;4;4;301230;2.5114665;
4;2;2;4;4;343952;2.5114665;
5;2;2;4;2;158640;2.5114665;
6;2;2;4;4;272887;2.5114665;
7;2;2;4;2;305018;2.5114665;
8;2;2;4;4;347007;2.5114665;
9;2;2;4;4;289128;2.5114665;
10;2;2;4;2;188807;2.5114665;
11;2;2;4;2;196532;2.5114665;
12;2;2;4;4;326698;2.5114665;
13;2;2;4;2;164221;2.5114665;
14;2;2;4;4;373568;2.5114665;
15;2;2;4;6;397984;2.5114665;
16;2;2;4;4;385761;2.5114665;
17;2;2;4;4;357788;2.5114665;
18;2;2;4;4;237791;2.5114665;
19;2;2;4;4;276654;2.5114665;
20;2;2;4;6;309246;2.5114665;
21;2;2;4;2;161125;2.5114665;
22;2;2;4;2;194639;2.5114665;
1;2;3;6;9;267377;7.834506;
2;2;3;6;10;320077;8.098276;
3;2;3;6;10;343711;7.834506;
4;2;3;6;10;428001;7.834506;
5;2;3;6;5;328262;7.9165416;
6;2;3;6;4;362697;8.098276;
7;2;3;6;13;614524;7.834506;
8;2;3;6;4;448900;8.098276;
9;2;3;6;10;745793;7.9165416;
10;2;3;6;9;493304;7.9165416;
11;2;3;6;11;490369;7.834506;
12;2;3;6;15;652466;7.834506;
13;2;3;6;10;521749;7.834506;
14;2;3;6;10;540323;7.834506;
15;2;3;6;4;353089;8.098276;
16;2;3;6;12;639582;7.834506;
17;2;3;6;11;597982;7.834506;
18;2;3;6;10;525195;7.834506;
19;2;3;6;10;646114;7.834506;
20;2;3;6;5;425396;8.098276;
21;2;3;6;6;476343;7.834506;
22;2;3;6;12;771070;7.834506;
1;2;4;8;17;457306;15.843985;
2;2;4;8;12;461885;15.436638;
3;2;4;8;23;754640;15.436638;
4;2;4;8;23;831014;15.467277;
5;2;4;8;14;604656;15.751171;
6;2;4;8;27;1101096;15.383568;
7;2;4;8;6;470772;15.751171;
8;2;4;8;15;733961;15.614674;
9;2;4;8;10;672875;15.436638;
10;2;4;8;18;963496;15.383568;
11;2;4;8;13;1704428;15.436638;
12;2;4;8;17;894946;15.383568;
13;2;4;8;10;698242;15.383568;
14;2;4;8;11;629482;15.383568;
15;2;4;8;3;493465;16.589382;
16;2;4;8;12;853376;15.843985;
17;2;4;8;15;1033128;15.383568;
18;2;4;8;9;881480;15.436638;
19;2;4;8;19;1167372;15.467277;
20;2;4;8;7;781481;15.751171;
21;2;4;8;13;910274;15.383568;
22;2;4;8;12;791009;15.383568;
1;2;5;10;33;654240;31.978098;
2;2;5;10;19;628872;32.191143;
3;2;5;10;34;1025433;32.20812;
4;2;5;10;30;845622;32.113766;
5;2;5;10;29;916687;31.903673;
6;2;5;10;22;758497;31.978098;
7;2;5;10;26;851834;32.20812;
8;2;5;10;38;1206907;31.794594;
9;2;5;10;26;1035211;32.074116;
10;2;5;10;20;908992;32.807045;
11;2;5;10;29;1191247;32.255028;
12;2;5;10;33;1359175;31.903673;
13;2;5;10;26;1267361;32.191143;
14;2;5;10;27;1201026;32.05944;
15;2;5;10;21;1104823;31.794594;
16;2;5;10;15;993051;31.98266;
17;2;5;10;15;1075778;31.839577;
18;2;5;10;21;1295414;32.26267;
19;2;5;10;30;1510842;31.729033;
20;2;5;10;18;1354816;32.667286;
21;2;5;10;32;1976605;32.191143;
22;2;5;10;31;1723375;31.703064;
1;2;6;12;39;948598;51.4419;
2;2;6;12;34;1110654;52.186413;
3;2;6;12;35;1142875;51.035137;
4;2;6;12;41;1256721;52.25922;
5;2;6;12;36;1085256;50.842327;
6;2;6;12;42;1357121;51.035137;
7;2;6;12;28;1085787;52.69492;
8;2;6;12;29;940772;51.5873;
9;2;6;12;38;1562521;51.730556;
10;2;6;12;43;1733805;52.408367;
11;2;6;12;46;1847049;51.62939;
12;2;6;12;32;1421392;51.970886;
13;2;6;12;17;974937;51.430264;
14;2;6;12;45;1676356;51.541763;
15;2;6;12;28;1391085;51.518345;
16;2;6;12;22;1245870;51.747276;
17;2;6;12;30;1519699;52.408367;
18;2;6;12;50;2928268;51.158928;
19;2;6;12;38;1874321;50.842327;
20;2;6;12;32;1723265;52.35665;
21;2;6;12;49;2470700;51.764652;
22;2;6;12;30;1772077;51.150177;
1;2;7;14;58;1715430;84.91363;
2;2;7;14;35;925614;87.025276;
3;2;7;14;38;1318218;84.27873;
4;2;7;14;45;1324429;85.63016;
5;2;7;14;47;1472269;84.558685;
6;2;7;14;63;2053259;85.800705;
7;2;7;14;31;1038888;84.51813;
8;2;7;14;65;2231738;84.51813;
9;2;7;14;24;1030693;87.028015;
10;2;7;14;43;1702355;85.75973;
11;2;7;14;47;1884620;85.77014;
12;2;7;14;50;1913024;84.91363;
13;2;7;14;31;1405302;86.53982;
14;2;7;14;64;2712078;85.796196;
15;2;7;14;83;3142563;84.91363;
16;2;7;14;62;2599976;86.49775;
17;2;7;14;56;2447486;85.33401;
18;2;7;14;49;2398674;85.766975;
19;2;7;14;69;2927195;85.63479;
20;2;7;14;65;2910033;84.791435;
21;2;7;14;91;3806421;85.76094;
22;2;7;14;60;3079253;85.37904;
1;2;8;16;57;2413221;118.41388;
2;2;8;16;77;2796418;116.44904;
3;2;8;16;64;2118854;117.194466;
4;2;8;16;61;2105138;118.053566;
5;2;8;16;118;3928913;117.42709;
6;2;8;16;82;2742285;117.47886;
7;2;8;16;80;2542186;117.565674;
8;2;8;16;83;2460501;116.50347;
9;2;8;16;76;2432588;117.86425;
10;2;8;16;93;3106745;116.81724;
11;2;8;16;90;3054867;118.91392;
12;2;8;16;41;1672819;115.941795;
13;2;8;16;105;3729024;115.66343;
14;2;8;16;90;3546449;116.029144;
15;2;8;16;92;3986392;118.27479;
16;2;8;16;88;3529116;117.401924;
17;2;8;16;74;3639134;119.24812;
18;2;8;16;103;4652223;116.155106;
19;2;8;16;92;4252576;118.2283;
20;2;8;16;70;4542104;117.74519;
21;2;8;16;57;2992740;116.08683;
22;2;8;16;41;2305978;116.85438;
1;3;1;3;2;88998;0.9648651;
2;3;1;3;2;133994;0.9648651;
3;3;1;3;2;114828;0.9648651;
4;3;1;3;2;126900;0.9648651;
5;3;1;3;2;113235;0.9648651;
6;3;1;3;2;114837;0.9648651;
7;3;1;3;2;106291;0.9648651;
8;3;1;3;2;100270;0.9648651;
9;3;1;3;2;100330;0.9648651;
10;3;1;3;2;107304;0.9648651;
11;3;1;3;2;100060;0.9648651;
12;3;1;3;2;123745;0.9648651;
13;3;1;3;2;109097;0.9648651;
14;3;1;3;2;115619;0.9648651;
15;3;1;3;2;119497;0.9648651;
16;3;1;3;2;108485;0.9648651;
17;3;1;3;2;109207;0.9648651;
18;3;1;3;2;110480;0.9648651;
19;3;1;3;2;101432;0.9648651;
20;3;1;3;2;105710;0.9648651;
21;3;1;3;2;125899;0.9648651;
22;3;1;3;2;127442;0.9648651;
1;3;2;6;8;146568;4.752993;
2;3;2;6;6;165434;4.752993;
3;3;2;6;10;290661;4.752993;
4;3;2;6;8;318614;4.752993;
5;3;2;6;12;465011;4.752993;
6;3;2;6;4;264231;4.752993;
7;3;2;6;10;498645;4.752993;
8;3;2;6;2;275592;4.7987847;
9;3;2;6;8;444322;4.752993;
10;3;2;6;2;266835;4.7987847;
11;3;2;6;14;387344;4.752993;
12;3;2;6;2;284609;4.7987847;
13;3;2;6;6;361505;4.752993;
14;3;2;6;10;462496;4.752993;
15;3;2;6;2;237210;4.752993;
16;3;2;6;8;406040;4.752993;
17;3;2;6;6;374449;4.752993;
18;3;2;6;6;420928;4.752993;
19;3;2;6;10;401491;4.752993;
20;3;2;6;6;386432;4.752993;
21;3;2;6;10;491020;4.752993;
22;3;2;6;2;302763;4.752993;
1;3;3;9;13;262748;22.65334;
2;3;3;9;11;277386;22.610353;
3;3;3;9;16;420697;22.65334;
4;3;3;9;26;650793;22.746546;
5;3;3;9;18;519254;22.610353;
6;3;3;9;15;485490;22.65334;
7;3;3;9;28;735554;22.746546;
8;3;3;9;15;592864;22.65334;
9;3;3;9;15;523942;22.746546;
10;3;3;9;21;613953;23.087572;
11;3;3;9;2;462777;23.237268;
12;3;3;9;13;743488;22.65334;
13;3;3;9;22;1003401;22.827522;
14;3;3;9;9;762655;22.746546;
15;3;3;9;22;1036624;22.599802;
16;3;3;9;15;862984;22.610353;
17;3;3;9;26;1157894;22.599802;
18;3;3;9;12;778895;22.827522;
19;3;3;9;19;1113760;22.610353;
20;3;3;9;14;781942;22.906008;
21;3;3;9;11;738008;22.610353;
22;3;3;9;20;1245650;22.599802;
1;3;4;12;29;751404;46.817234;
2;3;4;12;32;605477;46.90825;
3;3;4;12;19;535455;46.817234;
4;3;4;12;34;769057;46.594666;
5;3;4;12;21;626416;47.49598;
6;3;4;12;52;1359004;47.742233;
7;3;4;12;32;899364;47.891487;
8;3;4;12;44;1264155;47.04724;
9;3;4;12;40;1338285;46.767075;
10;3;4;12;33;1184103;47.705326;
11;3;4;12;44;2099006;47.40282;
12;3;4;12;36;1346651;46.581333;
13;3;4;12;38;1775934;47.525326;
14;3;4;12;29;2440343;47.636353;
15;3;4;12;35;1454425;46.581333;
16;3;4;12;55;2152478;46.934036;
17;3;4;12;44;1868670;46.581333;
18;3;4;12;33;1663852;47.84068;
19;3;4;12;46;2112242;46.767075;
20;3;4;12;49;2645341;46.445652;
21;3;4;12;35;1886303;46.77587;
22;3;4;12;44;2067387;46.445652;
1;3;5;15;61;2106741;90.83401;
2;3;5;15;87;2616257;91.89427;
3;3;5;15;63;2047379;91.297066;
4;3;5;15;54;1633424;91.9093;
5;3;5;15;51;1635168;91.16164;
6;3;5;15;29;1054087;91.2619;
7;3;5;15;62;1784190;91.68966;
8;3;5;15;83;2474468;90.69708;
9;3;5;15;79;2303113;91.30057;
10;3;5;15;41;1466609;93.151634;
11;3;5;15;59;1665435;93.04919;
12;3;5;15;78;2672212;91.40015;
13;3;5;15;80;2688633;90.69708;
14;3;5;15;48;1999649;91.01715;
15;3;5;15;48;1906021;91.9093;
16;3;5;15;66;2609473;91.32416;
17;3;5;15;61;2438730;91.34191;
18;3;5;15;95;3364484;92.49256;
19;3;5;15;29;1569173;93.58757;
20;3;5;15;39;1990210;92.03093;
21;3;5;15;41;1931700;90.80957;
22;3;5;15;43;2370831;91.863;
1;3;6;18;107;5507153;136.68529;
2;3;6;18;44;1919586;136.20547;
3;3;6;18;131;4630742;134.76215;
4;3;6;18;80;2683544;135.87067;
5;3;6;18;95;3239998;134.76624;
6;3;6;18;83;2767562;136.37988;
7;3;6;18;70;2318572;136.61829;
8;3;6;18;129;4065572;134.7458;
9;3;6;18;105;3399770;135.52063;
10;3;6;18;106;3570905;133.72958;
11;3;6;18;103;3633754;133.70558;
12;3;6;18;142;4690586;134.35341;
13;3;6;18;89;3914455;133.7569;
14;3;6;18;80;3054537;135.03424;
15;3;6;18;120;4377273;134.54225;
16;3;6;18;88;3384772;134.94017;
17;3;6;18;89;3452781;133.87238;
18;3;6;18;113;4595136;133.61755;
19;3;6;18;74;3123678;134.2807;
20;3;6;18;101;4250592;134.75092;
21;3;6;18;141;5934843;134.07043;
22;3;6;18;140;5830295;134.49484;
1;3;7;21;204;15410073;222.52637;
2;3;7;21;164;9061977;226.16786;
3;3;7;21;146;6313380;221.49384;
4;3;7;21;172;6143348;221.87283;
5;3;7;21;220;7793344;221.91925;
6;3;7;21;162;5055107;223.99062;
7;3;7;21;177;6626052;222.66095;
8;3;7;21;156;5830295;223.4482;
9;3;7;21;156;4942874;222.92099;
10;3;7;21;126;4980395;227.83835;
11;3;7;21;134;4842333;224.68674;
12;3;7;21;103;4279618;224.41325;
13;3;7;21;159;6413530;221.88394;
14;3;7;21;151;5585381;223.91884;
15;3;7;21;221;8522465;222.44896;
16;3;7;21;188;6976316;224.74074;
17;3;7;21;190;7487905;220.9486;
18;3;7;21;204;8109202;226.22382;
19;3;7;21;168;7273840;225.45769;
20;3;7;21;203;9010529;223.09106;
21;3;7;21;167;6885805;222.75737;
22;3;7;21;146;6307519;222.22989;
1;3;8;24;239;24570577;328.01688;
2;3;8;24;233;15831532;322.95312;
3;3;8;24;182;10027536;321.2319;
4;3;8;24;238;11271523;326.78107;
5;3;8;24;285;13002301;324.1894;
6;3;8;24;194;7876130;326.38824;
7;3;8;24;249;9869638;318.43588;
8;3;8;24;387;15102480;319.73856;
9;3;8;24;272;10286356;324.52606;
10;3;8;24;306;12864501;317.10547;
11;3;8;24;280;11139513;320.716;
12;3;8;24;310;12562529;324.22357;
13;3;8;24;248;10233496;323.2739;
14;3;8;24;199;7940522;316.72455;
15;3;8;24;435;16527320;319.92645;
16;3;8;24;193;7464481;329.80334;
17;3;8;24;179;7233112;320.71265;
18;3;8;24;238;10273873;326.00443;
19;3;8;24;187;8226425;326.62137;
20;3;8;24;238;11275531;324.44244;
21;3;8;24;319;14839712;323.79535;
22;3;8;24;356;16020370;317.87216;
1;4;1;4;2;72547;4.536525;
2;4;1;4;4;153160;4.536525;
3;4;1;4;6;188908;4.536525;
4;4;1;4;6;248421;4.536525;
5;4;1;4;4;186975;4.536525;
6;4;1;4;2;143051;4.536525;
7;4;1;4;4;213394;4.536525;
8;4;1;4;6;308344;4.536525;
9;4;1;4;2;142040;4.536525;
10;4;1;4;2;144424;4.536525;
11;4;1;4;2;142089;4.536525;
12;4;1;4;4;181293;4.536525;
13;4;1;4;2;142790;4.536525;
14;4;1;4;2;143312;4.536525;
15;4;1;4;6;233142;4.536525;
16;4;1;4;2;140567;4.536525;
17;4;1;4;4;210018;4.536525;
18;4;1;4;2;111361;4.536525;
19;4;1;4;2;132531;4.536525;
20;4;1;4;2;116581;4.536525;
21;4;1;4;5;232010;4.536525;
22;4;1;4;2;128102;4.536525;
1;4;2;8;13;160023;14.463274;
2;4;2;8;15;284509;14.463274;
3;4;2;8;16;378788;14.463274;
4;4;2;8;14;395740;14.463274;
5;4;2;8;10;323442;14.463274;
