Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
1;1;1;1;96974;0.0;
1;2;2;2;89329;0.08656899;
1;3;3;5;154813;0.5886308;
2;1;2;2;92045;0.018916711;
2;2;4;24;278518;2.4839416;
2;3;6;682;819723;8.924931;
3;1;3;6;129264;0.9913718;
3;2;6;712;784477;5.1810083;
3;3;9;285516;57113408;21.970415;
4;1;4;24;304417;2.3973053;
4;2;8;37517;7560206;15.769566;
4;3;12;210901126;56345044812;46.798397;
